x,y,goods_type,room
8.026907248330549,5.144375112268764,goods_type_f,F
1.7505776584301118,6.579897449252458,goods_type_h,B
12.197958554874122,0.9007193528841018,goods_type_b,G
8.13398456255618,6.428910158844023,goods_type_a,F
13.647057034833315,9.715975166372548,goods_type_e,H
4.807006968916362,2.6187067799979613,goods_type_c,C
11.144714494373021,8.339727396830419,goods_type_a,H
2.064448877757927,0.6200480362960681,goods_type_f,A
6.551918980936151,4.893697242508994,goods_type_f,F
3.7588962455276453,3.0227034633822503,goods_type_b,C
0.06508484857547558,5.206244790789338,goods_type_b,B
13.411710121378782,5.057995441286032,goods_type_g,G
6.873873298613477,6.123362565350177,goods_type_a,A
0.5150153968007483,2.1251513881334927,goods_type_e,A
2.0024386094736073,6.31923062990639,goods_type_h,B
7.8592989701092995,6.085125692231765,goods_type_e,E
6.684420006013838,1.0672789458093568,goods_type_h,C
5.857239461784197,8.223102455511684,goods_type_g,G
11.167706280818766,3.091257643233204,goods_type_b,G
2.4093692651479865,0.06802456942946122,goods_type_b,A
3.591127271623604,3.380823223291297,goods_type_f,C
1.6064654132396579,9.410930952421841,goods_type_g,B
12.51986686596068,4.9886808542255245,goods_type_g,G
3.2391942769721496,1.2079643366238413,goods_type_b,C
3.7922276822265033,4.479912753976433,goods_type_g,C
13.783300515377185,4.995798432330588,goods_type_c,C
13.588371012065519,4.848269901503563,goods_type_h,H
13.141481438951939,2.542775303521725,goods_type_a,G
5.519771799065768,3.909896800399747,goods_type_b,B
13.193685931064964,2.8213792378854876,goods_type_b,G
12.263579804711007,5.950919368742904,goods_type_g,G
9.100532009978595,1.7319111624370231,goods_type_b,E
8.360473591762593,5.676859928961462,goods_type_c,C
10.171377273450979,8.795249376326195,goods_type_g,F
13.966473210875405,6.987030282434855,goods_type_g,G
0.556944475716328,2.456732663557423,goods_type_f,A
12.910667622191554,1.3323075105114945,goods_type_e,G
5.893274623282809,3.002510639599042,goods_type_e,E
13.792540640320388,0.23975133412161953,goods_type_a,G
6.9163588974254715,7.533901033328011,goods_type_e,E
11.731293025317697,6.757611898480242,goods_type_e,E
6.130530780320466,2.090972748002966,goods_type_f,C
8.734580539129983,3.483355679022849,goods_type_b,E
11.708157037497484,7.819362016977863,goods_type_b,H
2.111457620195478,3.548761398694882,goods_type_a,A
13.141463440367081,4.402332481217892,goods_type_h,H
10.479885027197902,9.388910581138619,goods_type_b,F
10.011235443591392,6.609996719556705,goods_type_h,H
